,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Min_S,Max_S,avg_salary,Country,age_company,python,java,machine learning,aws,Job,Seniority
150,"Data Scientist, Junior",66 - 137 ,"The Challenge:
Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by cybersecurity, machine learning, and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. As a data scientist, you can turn these complex data sets into useful information to solve global challenges.
We have an opportunity for you to use your leadership and analytical skills to improve commercial practice. You’ll work closely with clients to understand their questions and needs, then dig into their data-rich environment to find the pieces of their information puzzle. You’ll mentor teammates, conduct data analysis and modeling, design data-driven solutions and approaches for clients, and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers to help our commercial security clients make informed decisions. You’ll provide your client with a deep understanding of their data, what it all means, and how they can use it. Join us as we use data science for good in commercial Cybersecurity. This position is open to remote delivery anywhere within the U.S., to include the District of Columbia.
#LI-AH1, #LI-Remote, DH1, ID13-CMCL",4.2,Booz Allen Hamilton,"New York, NY",10000+ Employees,1914.0,Company - Public,Consulting,Business Services,$5 to $10 billion (USD),66,137,101.5,NY,107.0,0,0,1,0,data scientist,na
151,Data Science Engineer,66 - 137 ,"Programming Skills: Proficiency in Python is required along with hands-on experience of ML/DL libraries like Numpy, Pandas, scikit-learn, TensorFlow, pytorch, Mathplotlib, etc
• Good knowledge in statistics and probability distributions
• Experience in handling image data using python libraries like OpenCV, scikit-image etc
• Deep understanding on common Machine Learning techniques related to Time series, Regression, Classification, Clustering, etc.(e.g. KNN, SVM, Random Forest, GBM, XGBoost, ARIMA, etc) and their applications
• Proficiency with at least one deep learning framework such as PyTorch, TensorFlow, Keras, etc.
• Experience in Image Processing is required
• Working knowledge in deep learning with different NN architectures like CNN, RNN, LSTM, GANs Auto encoders, Transformers, YoLo etc.
• Should be able to adopt available models from open source domain and implement research papers based on use-case requirements",3.9,TCS,"Santa Clara, CA",10000+ Employees,1968.0,Company - Public,Computer Hardware & Software,,$10+ billion (USD),66,137,101.5,CA,53.0,1,0,1,0,na,na
152,Data Scientist,66 - 137 ,"Bachelor's Degree
3+ years of experience with data scripting languages (e.g SQL, Python, R etc.) or statistical/mathematical software (e.g. R, SAS, or Matlab)
2 years working as a Data Scientist
Experience in as many of the following areas: causal inferencing, multi-variate testing & design, A/B testing & design, descriptive analytics, and regression analysis.
Good understanding of supervised and unsupervised learning models.
Job summary
Amazon Advertising is one of Amazon's fastest growing and most profitable businesses. As a core product offering within our advertising portfolio, Sponsored Products (SP) helps merchants, retail vendors, and brand owners succeed via native advertising, which grows incremental sales of their products sold through Amazon. The SP team's primary goals are to help shoppers discover new products they love, be the most efficient way for advertisers to meet their business objectives, and build a sustainable business that continuously innovates on behalf of customers. Our products and solutions are strategically important to enable our Retail and Marketplace businesses to drive long-term growth. We deliver billions of ad impressions and millions of clicks and break fresh ground in product and technical innovations every day!


Amazon is investing heavily in building a world-class advertising business. This team defines and delivers a collection of advertising products that drive discovery and sales. Our solutions generate billions in revenue and drive long-term growth for Amazon’s Retail and Marketplace businesses. We deliver billions of ad impressions, millions of clicks daily, and break fresh ground to create world-class products. We are a highly motivated, collaborative, and fun-loving team with an entrepreneurial spirit - with a broad mandate to experiment and innovate.

You will invent new experiences and influence customer-facing shopping experiences to help suppliers grow their retail business and the auction dynamics that leverage native advertising; this is your opportunity to work within the fastest-growing businesses across all of Amazon! Define a long-term science vision for our advertising business, driven from our customers' needs, translating that direction into specific plans for research and applied scientists, as well as engineering and product teams. This role combines science leadership, organizational ability, technical strength, product focus, and business understanding.

Team video https://youtu.be/zD_6Lzw8raE

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",3.7,"A9.com, Inc.","New York, NY",10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),66,137,101.5,NY,27.0,1,0,0,0,data scientist,na
153,Data Scientist,66 - 137 ,"At Polaris Inc., we have fun doing what we love by driving change and innovation. We empower employees to take on challenging assignments and roles with an elevated level of responsibility in our agile working environment. Our people make us who we are, and we create incredible products and experiences that empower us to Think Outside.
POSITION SUMMARY:
Polaris’s Data Science team works with business leaders across the enterprise to drive optimized strategy using data. The Data Scientist is responsible for creating recommendations for complex business decisions using predictive analytics. In addition to advanced analytics skills, this role is also proficient at integrating and preparing large, varied datasets, designing and implementing production algorithm scoring, and communicating results. Your focus will be on the back-end of the business, optimizing decisions related to supply chain flow, advanced manufacturing, tooling data, and ensuring the highest quality manufactured products. You are primarily a data scientist but are passionate about developing advanced end-to-end analytics and technology solutions that drive value for our business.",3.8,Polaris Inc.,"Plymouth, MN",10000+ Employees,1954.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),66,137,101.5,MN,67.0,0,0,0,0,data scientist,na
154,Data Scientist II,66 - 137 ,"Cloud Computing is the one of the most important initiatives for Microsoft. It is a highly competitive & rapidly growing market and we aim to win it.

The Azure Compute Analytics and Insights team is a growing Agile team tasked with turning our incredibly rich and Big data into strategic and sustainable assets that will drive business and engineering goals and efforts of Azure. Specifically, we build intelligent models and solutions with eventual integration into our platform or DevOps process with a focus on Azure cloud availability, performance, and customer experience improvement.

We are looking for passionate candidates who have both data science and development skills, and have a keen interest in building, deploying & supporting our intelligent models and solutions. If you dream of being able to use data science/applied statistical techniques like: anomaly detection, machine learning, expert systems and/or experimentation, then you should talk to us. If you have the drive to help to implement it and see it productized, then you really should talk to us. We are not one of those teams that just build reports with brilliant insights that no one uses. We are here to make it happen.",4.4,Microsoft,"Redmond, WA",10000+ Employees,1975.0,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),66,137,101.5,WA,46.0,0,0,1,0,data scientist,na
155,Statistician/Data Scientist,66 - 137 ,"What You Will Achieve
As a member of the Pharmaceutical Science and Manufacturing Statistics group, you will support a variety of development projects and help advance chemical and biological entities from post-proof of concept to the market. You will design, plan and execute statistical components of plans for research and development teams. This will assist in establishing the manufacturing conditions essential for safety, efficacy, and marketability of pharmaceutical and biological products. Through your comprehensive knowledge of principles, concepts and theories of the discipline, you will also work towards advancing new concepts and methodologies.
It is your commitment and hard work that will make Pfizer ready to achieve new milestones and help patients across the globe.
Medical
#LI-PFE",4.2,Pfizer,"Groton, CT",10000+ Employees,1849.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),66,137,101.5,CT,172.0,0,0,0,0,data scientist,na
157,Jr. Data Scientist,66 - 137 ,"In this age of disruption, organizations need to navigate the future with confidence by tapping into the power of data analytics, robotics, and cognitive technologies such as Artificial Intelligence (AI). Our Strategy & Analytics portfolio helps clients leverage rigorous analytical capabilities and a pragmatic mindset to solve the most complex of problems. By joining our team, you will play a key role in helping to our clients uncover hidden relationships from vast troves of data and transforming the Government and Public Services marketplace.

Work you'll do

The Data Scientist will join a team responsible for developing advanced analytics products; applying data visualization and statistical programming tools to enterprise data to advance and enable key mission outcomes. In this role, they will support all phases of analytic work product development, from the identification of key business questions to ETL, from performing analyses to delivery of insights to decision-makers, with particular attention to the interplay between data and the business processes that produce and consume it.

The team

Deloitte's Government and Public Services (GPS) practice - our people, ideas, technology and outcomes-is designed for impact. Serving federal, state, & local government clients as well as public higher education institutions, our team of over 15,000+ professionals brings fresh perspective to help clients anticipate disruption, reimagine the possible, and fulfill their mission promise.

The GPS Analytics and Cognitive (A&C) offering is responsible for developing advanced analytics products and applying data visualization and statistical programming tools to enterprise data in order to advance and enable the key mission outcomes for our clients. Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from performing analyses and using a wide range of statistical, machine learning, and applied mathematical techniques to delivery insights to decision-makers. Our practitioners give special attention to the interplay between data and the business processes that produce it and the decision-makers that consume insights.

Qualifications

Required:



Preferred:



How you'll grow

At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.",4.0,Deloitte,"Bethesda, MD",10000+ Employees,1850.0,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),66,137,101.5,MD,171.0,0,0,1,0,data scientist,jr
158,Data Scientist,66 - 137 ,"Job Description
The Washington Post Personalization team is looking for a data scientist who is excited to create forward-thinking solutions for the next generation of journalism. Our team is at the heart of the Post’s machine learning strategies to build intelligent and adaptable personalized news experiences and business solutions capable of powering the most high-scale websites in the world.
Responsibilities
Collaborate with cross-functional agile teams of data scientists, machine learning engineers, software engineers, and others in building machine learning infrastructure that best supports the ML needs.
Have a strong problem-solving ability and a knack for statistical analysis.",4.3,The Washington Post,"Washington, DC",1001 to 5000 Employees,1877.0,Company - Private,Publishing,Media,Unknown / Non-Applicable,66,137,101.5,DC,144.0,0,0,1,0,data scientist,na
160,Statistician,66 - 137 ,"About Us:
DevTech Systems, Inc. (DevTech) is an international consulting firm dedicated to development, with 35 years of experience providing advisory services and technical assistance to government, private sector, and civil society stakeholders in more than 100 countries. DevTech core practice areas include: Economic and Data Analysis, Monitoring and Evaluation, Education and Youth Development, Gender and Inclusive Development, and Public Financial Management.
Overview:
DevTech is recruiting for a full-time Mid-level Statistician to work with the Privacy and Risk Analysis team within USAID Data Services in USAID’s Bureau of Management, Office of the Chief Information Officer. The USAID Data Services team is designed to improve awareness, availability, access, and capacity to transform the way USAID collects, analyzes, and uses data to ensure development outcomes are supported by evidence.

The Statistician will use advanced analytics to work with USAID datasets to support the availability of development research data. The Statistician will develop technical solutions to help: mitigate privacy vulnerabilities; facilitate scientific research; document data processes; inform data sharing and publication decisions; and streamline operating procedures.

Responsibilities:
Qualifications:



EEO Statement:",3.7,"DevTech Systems, Inc.","Washington, DC",1 to 50 Employees,1984.0,Company - Private,-1,-1,$5 to $10 million (USD),66,137,101.5,DC,37.0,0,0,0,0,na,na
161,Data Scientist,66 - 137 ,"Data Scientists develop algorithms and statistical methods that find patterns and relationships in large volumes of data, driving operations and shaping CIA technology investments.
Full time
Starting salary: $70,150 - $172,500*
Higher starting salary possible depending on experience level
Bachelor's degree
Foreign language bonus eligible
About the Job
As a Data Scientist for CIA, you will organize and interpret data to inform U.S. decision-makers, drive successful operations, and shape CIA technology and resource investments. Through CIA’s global mission, the Agency has access to unique and highly specialized data sets. You will work with advanced hardware, software, and techniques to develop computational algorithms and statistical methods that find patterns and relationships in large volumes of data. You will also create scalable, high performance, and repeatable computational solutions which realize their algorithmic approaches. Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at academic, and technical conferences as well as collaboration with the Intelligence Community.",4.0,Central Intelligence Agency,"Washington, DC",Unknown,1947.0,Government,Federal Agencies,Government,Unknown / Non-Applicable,66,137,101.5,DC,74.0,0,0,0,0,data scientist,na
162,Lead Data Scientist,66 - 137 ,"JOB POSITION: Lead Data Scientist
LOCATION: 1000 Nicollet Mall, Minneapolis, MN 55403
DUTIES: Use analytics tools and develop statistical models to gain insight into the organization’s supply chain network and make it more efficient; integrate output into users platforms for data consumption; development of forecasting and time-series models for supply chain operations research; recommend and document the application of statistical models and build statistical models as well as explore other data science techniques including supervised and unsupervised machine learning techniques; creating linear optimization models and applying linear programming for optimization problems; apply data science techniques building off current models, generate metrics and reports on the performance of their models; apply insights and testing in partnership with business users and run additional tests and improving model output; actively participate in team meetings and support agile ceremonies; mentor and train other scientists on technical solutions; work directly with managers, data science, engineering and business users to share insight and provide access statistical output; and engage with product owners and users to review analysis and recommend additional data points and analytical techniques to be applied. Tools used: Python, PySpark, Hadoop, Git, SQL, R, Jira, Microsoft Office, PyTorch, and TensorFlow Keras. Position includes a telecommute benefit within commuting distance to Minneapolis-area Target office, as directed.


Qualifications:",3.7,TARGET,"Minneapolis, MN",10000+ Employees,1962.0,Company - Public,General Merchandise & Superstores,Retail,$10+ billion (USD),66,137,101.5,MN,59.0,1,0,1,0,data scientist,senior
163,Data Scientist,66 - 137 ,"Hi, we're Oscar. We're hiring Data Scientists to join our Data team in our New York office.
Oscar is a technology-driven, consumer-focused health insurance startup founded in 2012 and headquartered in New York City. Our goal is to make health insurance simple, transparent, and human. We need your help to do so.
About the role:
Oscar is restructuring health care to make it easy, affordable, and seamless for consumers to access high value care. Oscar's data team is focused on pushing our understanding of this complex landscape. Insurance companies sit on a trove of data that is both broad and deep, spanning financial claims, clinical medical records, and rich product interaction data from our members. Connecting the dots across these datasets gives us unique insight into how the healthcare system functions and allows us to improve care coordination, better manage risk, build higher-performing provider networks, and create a standout consumer experience in our product. At Oscar, we are looking for bright and curious data minded individuals to join our team of 30+ researchers, data scientists, and analysts to leverage our efforts!",-1.0,Oscar Health,"New York, NY",1001 to 5000 Employees,2012.0,Company - Public,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),66,137,101.5,NY,9.0,0,0,0,0,data scientist,na
164,"Senior Data Scientist, Core Experience",66 - 137 ,"Data, Research & Insights
Data Science
Delivering the best Spotify experience possible. To as many people as possible. In as many moments as possible. That’s what the Experience team is all about. We use our deep understanding of consumer expectations to enrich the lives of millions of our users all over the world, bringing the music and audio they love to the devices, apps and platforms they use every day. Know what our users want? Join us and help Spotify give it to them.
Location
Job type
Permanent",4.2,Spotify,"New York, NY",5001 to 10000 Employees,2006.0,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,66,137,101.5,NY,15.0,0,0,0,0,data scientist,senior
165,Data Scientist,66 - 137 ,"Want to build a stronger, more sustainable future and cultivate your career? Join Cargill's global team of 160,000 employees who use new technologies, dynamic insights and over 154 years of experience to connect farmers with markets, customers with ingredients, and people and animals with the food they need to thrive.
Job Purpose and Impact

The Data Scientist will mine and analyze complex and unstructured data sets using advanced statistical methods for data-driven decision-making. In this position, you will collaborate with sales, trading, and finance teams to drive business solutions and design effective analytical approaches to ensure performance and scalability to large data sets.
Key Accountabilities

Stay on top of new analytic methodologies and technologies and work in a collaborative multifunctional environment to successfully implement solutions and lead change.
Perform research, analysis, and modeling on organizational data.
Provide findings and analysis to take informed business decisions.
Develop and maintain software programs, algorithms, dashboards, information tools, and queries to clean, model, integrate and evaluate data sets.
Optimize pipelines for data intake, validation, and mining as well as modeling and visualization by applying best practices to the engineering of large data sets.
Independently solve moderately complex issues with minimal supervision, while escalating more complex issues to appropriate staff.
Other duties as assigned Qualifications
Minimum Qualifications

Bachelor’s degree in a related field or equivalent experience (i.e. statistics, data science, quantitative finance)
Minimum of two years of related work experience
Experience in authoring SQL, Python and R code to implement and manage data science pipelines and predictive algorithms
Experience in collecting and manipulating structured and unstructured data from multiple data systems (on premises, cloud-based data sources, APIs, web-scraping) Preferred Qualifications

Master's degree
Oral and written communication skills to translate complex problems into clear and simple stories and communicate across the organization, especially to teams with less data & analytics experience
Confirmed ability to diagnose and troubleshoot complex analytic implementation issues
Ability to prioritize - we are consistently working on multiple projects at any given time, so we are looking for someone who is comfortable working in an ambiguous environment and has the ability to successfully plan and manage numerous processes, people and projects simultaneously.
Experience in collaborating on code, enforcing version control, and building solid data pipeline using tools such as GitHub, Jira, Confluence and Visio and working with big data tools such as Hadoop, Hive, Pig, Spark etc. Position Information

The business will not sponsor applicants for work visas for this position.

Equal Opportunity Employer, including Disability/Vet.",4.0,Cargill,"Hopkins, MN",10000+ Employees,1865.0,Company - Private,Food Production,Agriculture & Forestry,$10+ billion (USD),66,137,101.5,MN,156.0,1,0,0,0,data scientist,na
166,Machine Learning Engineer,66 - 137 ,"Job Title: Machine Learning Engineer
Location: New York, NY
Duration: Full Time
Skills Required:
Excellent knowledge of common machine learning algorithms
Experience of building solutions with natural language models
Excellent Python development skills
Designing and developing NLP applications
Using effective text representation techniques, Named Entity Recognition and classification algorithms",3.5,Okaya Corp,"New York, NY",501 to 1000 Employees,-1.0,Company - Public,Metal & Mineral Manufacturing,Manufacturing,$10+ billion (USD),66,137,101.5,NY,2022.0,1,0,1,0,ML,na
167,Data Scientist,66 - 137 ,"Overview: We are recruiting for an accomplished and motivated Data Scientist to join our Marketing Data & Analytics team to build new decision-making pathways across three beloved brand: J.Crew, J.Crew Factory and Madewell. In this role, you will deliver high-quality and impactful analyses aligned to key business objectives, while leveraging your business acumen, curiosity and our suite of technology tools. This highly visible role will work closely with partners in IT and marketing with responsibility for (1) analytic insights that drive tangible business results (2) high-quality algorithms and models to expand revenue streams and streamline operations and (3) onboarding new tools and technologies that support our marketing analytics roadmap.

Responsibilities:
Statistical Modeling & Machine Learning 50%",3.9,J.Crew,"New York, NY",10000+ Employees,1983.0,Company - Private,"Department, Clothing, & Shoe Stores",Retail,$2 to $5 billion (USD),66,137,101.5,NY,38.0,0,0,1,0,data scientist,na
168,Citizen Data Scientist - Remote,66 - 137 ,"HENKEL IS FOR THOSE WHO STEP UP. DO YOU?
At Henkel, you can make a difference and craft your career. That’s why you own your projects and take full responsibility from an early stage. Our unique brands in markets around the world open up countless opportunities to follow your convictions and explore new paths. If you have an entrepreneurial mindset that allows you to always think out of the box - take the chance and shape the digital future together with us.
YOUR ROLE
Enable the North American regional supply chain organization to make more informed data-based decisions to improve process performance and efficiency.
This is accomplished by exploratory data analysis, data visualization, and supporting process experts with putting data insights into improvement action.",4.3,Henkel,"New York, NY",10000+ Employees,1876.0,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),66,137,101.5,NY,145.0,0,0,0,0,data scientist,na
169,Data Scientist,66 - 137 ,"Data Scientist

Data Scientist
Remote Opportunity
Basic Purpose
The Data Scientist is responsible for performing advanced analytics in support of the Healthcare Analytics Solutions product portfolio. In this role, you will leverage your experience preparing large datasets and applying a variety of data science methods and the underlying mathematical theories to analyze data. The incumbent will work across our primary markets including, Pharma, Health Plans, and Health Systems and use the spectrum of data science fields of study, including natural language processing, machine learning and AI technology, to address the biggest challenges facing each market.",3.5,Quest Diagnostics,"Marlborough, MA",10000+ Employees,1967.0,Company - Public,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),66,137,101.5,MA,54.0,0,0,1,0,data scientist,na
170,Data Scientist (Remote),66 - 137 ,"Buscamos un/a Data Scientist para sumarse a nuestro equipo.

¿Qué buscamos de vos?
Que te guste hacer Data Analytics y quieras sumarte a nuestra área de servicios para la ejecución de proyectos y desarrollos de pruebas de conceptos que solucionen los problemas de nuestros clientes y también mejoren la performance de nuestros procesos internos.
Tareas a realizar
Analizar grandes volúmenes de datos, buscar correlaciones, y diferentes tipos de relaciones para extraer insights relevantes y generar valor para el cliente.",4.9,Retargetly,Remote,51 to 200 Employees,2014.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,66,137,101.5,te,7.0,0,0,0,0,data scientist,na
171,Data Scientist,66 - 137 ,"NSA Overview: The professionals at the National Security Agency (NSA) have one common goal: to protect our nation. The mission requires a strong offense and a steadfast defense. The offense collects, processes, and disseminates intelligence information derived from foreign signals for intelligence and counterintelligence purposes. The defense prevents adversaries from gaining access to sensitive classified national security information. At NSA, Data Science is a fundamental discipline and is present in nearly every aspect of the mission. NSA is the nation's leader in providing foreign signals intelligence while also protecting U.S. government information systems, forging the frontier of communications, and data analysis. We serve the American people by applying technical skills to meaningful work, keeping our friends and families safe for generations to come. You will make a lasting impact serving your country as a Data Scientist at the National Security Agency, using your curiosity and technical expertise to analyze large data sets to inform decision-making against foreign threats. Description of Position: Data science at NSA is a multi-disciplinary field that uses elements of mathematics, statistics, computer science, and application-specific knowledge to gather, make, and communicate principled conclusions from data. Data science is present in every aspect of the mission. NSA Data Scientists tackle challenging real-world problems leveraging big data, high-performance computing, machine learning, and a breadth of other methodologies. We are looking for critical thinkers, problem solvers, and motivated individuals who are enthusiastic about data and believe that answers to hard questions lie in the yet-to-be-told story of diverse, complicated data sets. You will employ your mathematical science, computer science, and quantitative analysis skills to develop solutions to complex data problems and take full advantage of NSA's capabilities to tackle the highest priority foreign intelligence and cybersecurity challenges. Direct hire data scientists are hired into positions directly supporting a technical mission office. You will have the opportunity to collaborate with NSA's experts in the field of data science and other computational disciplines while tackling NSA's highest priority mission challenges. You will have opportunities to attend technical conferences with experts internally and from industry and academia as well as discuss and share NSA's challenges and successes at technical roundtables. As a Data Scientist at NSA, your responsibilities may include: - Exploratory data analysis and exploratory model-fitting to reveal data features of interest - Machine-learned predictive modeling - Construct usable data sets from multiple sources to meet customer needs - Identifying and analyzing anomalous data (including metadata) - Developing conceptual design and models to address mission requirements - Developing qualitative and quantitative methods for characterizing datasets in various states. - Performing analytic modeling, scripting, and/or programming - Working collaboratively and iteratively throughout the data-science lifecycle - Designing and developing analytics and techniques for analysis - Analyzing data using mathematical and statistical methods - Evaluating, documenting, and communicating research processes, analyses, and results to customers, peers, and leadership - Creating interpretable visualizations",-1.0,National Security Agency,"Fort Meade, MD",Unknown,-1.0,Government,Federal Agencies,Government,Unknown / Non-Applicable,66,137,101.5,MD,2022.0,0,0,1,0,data scientist,na
172,Federal - Data Scientist,66 - 137 ,"Organization: Accenture Federal Services
Locations: Washington, DC
We are:
Accenture Federal Services, helping our federal clients tackle their toughest challenges while unleashing their fullest potential…and then some. What makes our approach so unique? Operating from the nation’s capital, we bring together commercial innovation and leading-edge technologies to deliver an integrated and interactive experience that far exceeds expectations. How? Our passion meets purpose! Through our diverse culture and inclusive thinking, we embrace our employees' ideas taking them from concept to practical solutions. Not to mention, we sleep well at night knowing our work directly impacts and improves the way the world works. We keep our tech smarts sharp by providing abundant training and certification opportunities. Are you ready to learn and grow in a career, while making a difference?


A lover of patterns. Perhaps you grew up putting together 1,000-piece puzzles, finding that tiny detail that gave away the perfect placement. You're on your A-game with the latest tools and methods, from statistics to machine learning. While others were struggling through stats, you were living your best life. You lead the charge to work with business stakeholders to understand their goals and determine how data can be used. What sets you apart? Unlike the rest, you see and apply your work through a human lens. You live to take any data mess from drab to fab and transform it into a story that the average Joe and Jane can understand.",4.1,Accenture,"Arlington, VA",10000+ Employees,1989.0,Company - Public,Consulting,Business Services,$10+ billion (USD),66,137,101.5,VA,32.0,0,0,1,0,data scientist,na
173,Data Scientist,66 - 137 ,"Join a team that puts its People First! Since 1889, First American (NYSE: FAF) has held an unwavering belief in its people. They are passionate about what they do, and we are equally passionate about fostering an environment where all feel welcome, supported, and empowered to be innovative and reach their full potential. Our inclusive, people-first culture has earned our company numerous accolades, including being named to the Fortune 100 Best Companies to Work For® list for six consecutive years. We have also earned awards as a best place to work for women, diversity and LGBTQ+ employees, and have been included on more than 50 regional best places to work lists. First American will always strive to be a great place to work, for all. For more information, please visit www.careers.firstam.com.
Job Summary
How would you like to work for one of Fortune’s top 100 Best Places to Work in 2020? At First American, we believe in People First and it shows in the passion and energy of our employees. We are seeking a Data Scientist to join our growing team. The ideal candidate will be intricately involved in performing analysis and developing models to support business decisions and manage risk. This individual will work with a variety of data assets from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining and machine learning tasks. This is a perfect opportunity for the successful candidate to become part of an innovative and energetic team that designs, develops, and implements the most valuable business solutions for the entire organization.",3.7,First American,"Santa Ana, CA",10000+ Employees,1889.0,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),66,137,101.5,CA,132.0,0,0,1,0,data scientist,na
174,Analyst-Data Science,66 - 137 ,"Data Science Analyst
The Finance Decision Science team drives strategic decisions for the business by applying statistical, innovative, analytical approaches and machine learning techniques. The candidate will be part of a quantitative finance team made up of highly talented individuals with strong intellectual curiosity. The essence of the work involves gathering, manipulating and synthesizing data (customer behaviors, transactions, attributes, etc.), predictive modeling and analytics to drive actionable recommendations. This is an excellent opportunity for an individual to work with the leadership team, gain deeper understanding of AXP business and build key business relationships.
Responsibilities include:
Leverage quantitative skills to provide decision support to business teams on key initiatives",4.2,Amex,"New York, NY",10000+ Employees,1850.0,Company - Public,Financial Transaction Processing,Finance,$10+ billion (USD),66,137,101.5,NY,171.0,0,0,1,0,analyst,na
175,Data Scientist,66 - 137 ,"About Nautilus.
Nautilus is building artificial intelligence to advance the efficiency of ocean commerce. We deliver technology to help shipping companies minimize fuel consumption, maximize operational efficiency, and optimize fleet performance. By arming ship owners and operators with real-time predictive decision support, Nautilus is reducing greenhouse gas emissions and making global trade sustainable.
Ocean shipping consumes over $100 billion dollars of fuel every year, and up to 30% of it can be saved. For owner-operators, reliance on manually collected and analyzed data makes it difficult to optimize fleet performance in real-time. By providing a unified data platform that leverages machine learning, Nautilus helps its clients make better decisions to maximize the return on each ship and every voyage. For our clients, this means they drive closer collaboration, greater transparency, and stronger accountability across their global teams every day.",-1.0,Nautilus Labs,"New York, NY",Unknown,-1.0,Company - Public,-1,-1,Unknown / Non-Applicable,66,137,101.5,NY,2022.0,0,0,1,0,data scientist,na
176,Data Scientist II,66 - 137 ,"Career Area:
Information Analytics
Job Description:
JOB PURPOSE:
Caterpillar uses quantitative methods such as business simulations, data mining, and advanced statistical techniques to solve problems. The Data Scientist II contributes to this mission by leveraging his or her quantitative analysis, data management, modeling and/or data visualization skills as an individual contributor to project teams tasked with solving business problems.



Relocation is available for this position.",4.0,Caterpillar,"Nashville, TN",10000+ Employees,1925.0,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),66,137,101.5,TN,96.0,0,0,0,0,data scientist,na
177,"Data Scientist, Core Product",66 - 137 ,"Airtable's unique approach to enabling end-user software creation has struck a chord with users across many industries and use cases. Our accelerating growth, coupled with our ambitious product surface area, brings many challenges. As one of the early members of the Data Science team, you will play a crucial role in shaping the future of Airtable by deepening our understanding of how people use the open-ended toolkit that Airtable offers. You'll work cross-functionally to identify and answer our most important questions, transforming raw data into understandable and actionable insights.
What you'll do
Partner with product, engineering, and design teams to help drive insights, identify opportunities, and understand user behavior and long-term trends.
Perform proactive, strategic analyses to understand the workflows and use cases of Airtable customers, and influence product roadmaps through your insights and recommendations.",4.6,Airtable,"San Francisco, CA",501 to 1000 Employees,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,66,137,101.5,CA,9.0,0,0,0,0,data scientist,na
